,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,-0.00497095767351168,0.2438272519482569,0.44144921513772745,0.29368512425977905,0.33325547274691936,0.43295997872659187,0.7613421800031186
PGV,-0.07013829808146778,0.1480366537490357,0.4457246038793594,0.23277436343316638,0.19440702874377383,0.405283210395673,0.6744648991821098
CAV,0.21692146406942037,0.1934893759840967,0.3773838022067126,0.28968614436946094,0.2614620744625574,0.25163374695801083,0.5983465178289512
AI,-0.14611546561172375,0.4196448438050643,0.7842461173414847,0.5184886443878141,0.5731816195730476,0.6155312348390249,1.2614627687740703
Ds575,0.2079109791990991,0.05432563994498937,0.30965044595099134,0.2767543923544164,0.0,0.4157105752326969,0.5876152437823663
Ds595,0.5779938636264785,0.04371799116696285,0.24843516545503255,0.2304154818379555,0.0,0.25850852192715323,0.42619007686036997
pSA_0.010000000000,-0.0034477438268811188,0.24400631618888505,0.4409809844911992,0.293564241134854,0.3335329321580574,0.43257073920089073,0.7609243415758667
pSA_0.010353218433,-0.0032796172507120044,0.24401137982305962,0.44094320852333696,0.2936274186867017,0.33353826270504694,0.43251519039494096,0.760897586248073
pSA_0.010718913192,-0.0031200913005459095,0.24401525537810323,0.440886966855064,0.2937333313366716,0.33353988692615,0.4325066133966381,0.7609017113158145
pSA_0.011097524964,-0.0029145574962537793,0.24409802816516732,0.440884348128194,0.29373493127712824,0.3336610107224745,0.43249421185418957,0.7609468651887079
pSA_0.011489510002,-0.0026228410564083588,0.24416017321358965,0.4408616094187685,0.29366697128453695,0.33375558488677365,0.43248062266201226,0.7609412119894506
pSA_0.011895340674,-0.00209262495885675,0.24421426212360045,0.4407708253948311,0.2936344678521587,0.33383803308542565,0.4324247509070782,0.7608804891449481
pSA_0.012315506033,-0.0015412797055313588,0.24425767957158828,0.44066367588382305,0.2936378865654892,0.33390353754278806,0.4323498575238505,0.7608059248944977
pSA_0.012750512407,-0.0012504418312645443,0.24448236435592519,0.4406444561825232,0.29355395886231644,0.3342368552457459,0.4322782813893755,0.7608680907316642
pSA_0.013200884008,-0.0008730499897410925,0.24467151513887886,0.4404743640967628,0.2934185172255363,0.3345226808916944,0.43228146134942125,0.7608447788705903
pSA_0.013667163565,-0.0003947844904816038,0.24467933412350515,0.4402380042589984,0.29342935829131306,0.3345373983988657,0.43229651866323077,0.7607271782163616
pSA_0.014149912974,9.774183808261978e-05,0.24466646176076284,0.4401624464743819,0.29347114268396735,0.33451816225934444,0.4322346463171878,0.7606559545766142
pSA_0.014649713983,0.0011449177693184194,0.24460208836726136,0.43996886955638637,0.29343125065651005,0.334430004172493,0.43205541680232423,0.7603879377788761
pSA_0.015167168885,0.002534705935920045,0.24441588329036976,0.439775141612442,0.29327135942033933,0.33416915526302526,0.4319081338148074,0.7600157405087679
pSA_0.015702901247,0.004076097866759015,0.24382817782828023,0.43956883672686076,0.2930623973323354,0.33332255615826234,0.4319504806413299,0.7594678894605981
pSA_0.016257556664,0.005372605781960987,0.24352674613482506,0.4394538232585147,0.29292608577687995,0.332889975083548,0.4319458139249856,0.7591562923295396
pSA_0.016831803533,0.005968220510951737,0.2435044949468246,0.43956642534853735,0.2932510841540326,0.332841261648932,0.4317406995239705,0.7592089157357854
pSA_0.017426333860,0.006314550191631951,0.2441985234605672,0.4397381287041581,0.29331895163073446,0.33385153013789615,0.43153936578993163,0.7596635423816117
pSA_0.018041864094,0.006544979337105808,0.24490484416860916,0.43973530487959345,0.29328262809028854,0.3348870715842687,0.4313939418890408,0.7600210010979616
pSA_0.018679135990,0.0068821050065787665,0.24567933736513697,0.4398236299936321,0.2932394842304573,0.3360205221930426,0.431321041281166,0.7605142027597344
pSA_0.019338917505,0.0073464717321843525,0.24586585365223623,0.44005453086346863,0.2932391695631002,0.336288915213169,0.4314272669597771,0.7608264729037475
pSA_0.020022003718,0.00805143909219377,0.24588852037390793,0.44025073377095325,0.29326610523974106,0.3363182323267257,0.43130497471451734,0.7608939818905217
pSA_0.020729217796,0.0083552182050307,0.24675987068782068,0.4401854071795079,0.2931680382072375,0.3375990391878297,0.43103651471485643,0.7612333936435959
pSA_0.021461411979,0.008104344611336035,0.2484231854697013,0.44025240426253265,0.2927186901514159,0.34004975637742313,0.43096379730468437,0.7621483073670892
pSA_0.022219468609,0.007474334211549647,0.24999189036436412,0.4400606631423103,0.2923498405796284,0.34236170903324775,0.43082441515464887,0.7628519076712698
pSA_0.023004301198,0.007008849892599583,0.250719463451464,0.4399563108292126,0.2921948913057349,0.34343412817018476,0.4305556807649206,0.763062647870134
pSA_0.023816855520,0.006770783352991012,0.25224294198272545,0.4397352248603265,0.2922046875570372,0.34566272217914623,0.43018056009216293,0.7637333822734033
pSA_0.024658110758,0.007099536904623641,0.25366482843679744,0.4389464530831518,0.2926871007126338,0.34773046099359717,0.4296632127812018,0.7641116917821182
pSA_0.025529080682,0.008022217749747809,0.2546428953796372,0.43853597066128236,0.2936575455477407,0.34912243110175767,0.4291128845791595,0.7645736663207837
pSA_0.026430814870,0.009696116874776948,0.25484177821530035,0.43724468880613404,0.29423429978128673,0.34940741179728546,0.42894714428032665,0.7640928824835906
