,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,-0.014436636836514553,0.2382641666451299,0.44097617686416474,0.2929968271487352,0.32515832052804117,0.43160816153233356,0.7565187821798598
PGV,-0.1344631160948323,0.1317695564330852,0.45941868433273086,0.2394407103888473,0.16853785959091258,0.39834957637553814,0.674896122688218
CAV,0.1825685244144324,0.17211991094480775,0.3785577755669967,0.27474773648224116,0.23060178746101548,0.25125262581804053,0.5788759577880422
AI,-0.17655583488744717,0.3967674152756806,0.7832834804425638,0.5118819487720817,0.5399804705471908,0.6140654451447091,1.242663035462975
Ds575,0.18962746683023182,0.05331761741151959,0.316472848607658,0.26716714033022865,0.0,0.4213131156932209,0.5907944534550126
Ds595,0.5550991991572409,0.04153712479854266,0.25813168944065046,0.2114368353821399,5.827190239753467e-05,0.26906661420533295,0.4286424509138527
pSA_0.010000000000,-0.012876427475706442,0.23842631413635476,0.44050292034763316,0.29287094649799733,0.32541199211194954,0.4312327338541566,0.756089180913881
pSA_0.010353218433,-0.012704935886449841,0.2384417954635856,0.4404655935115404,0.29293652130128295,0.32543241897997977,0.431178723693938,0.756070827151177
pSA_0.010718913192,-0.012545048155752584,0.23857421635153603,0.4404079660680388,0.2930378990384552,0.3256225244326328,0.43117279658386337,0.7561550077734649
pSA_0.011097524964,-0.012331915874094383,0.2385231414657285,0.44040099921242537,0.2930299887170251,0.3255482762887289,0.43115764321111605,0.7561072727389475
pSA_0.011489510002,-0.012036313663130729,0.23858626671386068,0.44038100116469725,0.29295890465587243,0.3256446365622799,0.4311390858297114,0.7560989926298329
pSA_0.011895340674,-0.011502019219257835,0.23865044842386346,0.44029055808892703,0.29291963445410296,0.32574237502624237,0.4310852731193303,0.7560425222030099
pSA_0.012315506033,-0.010947423102687327,0.23868026175669227,0.44018128773179305,0.2929388310421879,0.3257873598979031,0.4310108685806561,0.7559632911097472
pSA_0.012750512407,-0.010654438292442794,0.2389033227015619,0.4401632913979934,0.2928320413242705,0.3261199620737199,0.4309421315707846,0.7560156598551315
pSA_0.013200884008,-0.010278132067843572,0.2391638653873515,0.4399965024883136,0.29270227421811146,0.32651065297359927,0.43094400781799935,0.7560380201510299
pSA_0.013667163565,-0.009794796152610783,0.23908676065542572,0.43975461558547824,0.29269389345290364,0.32640205510303594,0.4309660832139128,0.7558597116195425
pSA_0.014149912974,-0.009294493774191953,0.23902322009436539,0.439683205472328,0.29272899325138607,0.3263087735806008,0.4309127919333261,0.7557610962677566
pSA_0.014649713983,-0.008243652362814725,0.2390202976680939,0.43947791902984523,0.29268161358176376,0.32631117050755454,0.4307352451543676,0.7555231297980437
pSA_0.015167168885,-0.006847044334422639,0.2387964165739416,0.43928204298401546,0.2925036676979967,0.32599590640249504,0.4305861800683784,0.75511912858969
pSA_0.015702901247,-0.005300960019123815,0.23831225242155496,0.43907532805507776,0.29229511221582605,0.32530002842107253,0.4306209535976023,0.7546377213603859
pSA_0.016257556664,-0.004005308591980542,0.2379901405016959,0.4389619566860899,0.29215879177018367,0.32483670130027803,0.43060857469881847,0.7543122603684022
pSA_0.016831803533,-0.0034147567033163385,0.2379423300795973,0.4390835063193175,0.292474632240517,0.32475041023252693,0.4304066459542085,0.7543529981736917
pSA_0.017426333860,-0.003070620019788923,0.2386108012428566,0.43926630813472406,0.29254717309244427,0.3257242341429045,0.4302028659987459,0.7547910443084281
pSA_0.018041864094,-0.0028275128723260563,0.2393359153889692,0.4392573068545599,0.292491667985317,0.3267898793703415,0.43006271721723865,0.7551449685094318
pSA_0.018679135990,-0.0024742010530518386,0.2401099501237281,0.43934274594983275,0.29246254549123246,0.32792361575877654,0.43000569660513355,0.755642234009671
pSA_0.019338917505,-0.0020025660264582582,0.24029114622323583,0.43958089725175603,0.2924597493899239,0.3281844500032519,0.430123964348953,0.755960136629619
pSA_0.020022003718,-0.0013008360460191183,0.2402862420575096,0.43975914436027297,0.2924910023283076,0.32817336632093225,0.4300179254822797,0.7560107579194847
pSA_0.020729217796,-0.0009968863054080582,0.24121412517257407,0.43969926354234334,0.2923666382565768,0.3295400652963027,0.4297531265554172,0.7563716665401865
pSA_0.021461411979,-0.0012508572141463046,0.24287660677142814,0.4397766057913488,0.2919154286312754,0.3319935849639515,0.4296299050293589,0.7572447928028908
pSA_0.022219468609,-0.0018649965788858087,0.24445912764898217,0.4395966456368182,0.2915488531101251,0.33432917697628306,0.4294607789913438,0.757930408332099
pSA_0.023004301198,-0.002283617843518943,0.24523655907438013,0.4395104040115568,0.2914288282865567,0.33547411904743746,0.42920661178748953,0.75819612063346
pSA_0.023816855520,-0.002485451585194236,0.24687236182676636,0.4392753411489263,0.2914666080012855,0.33786871727322637,0.42884637284168736,0.7589335218137406
pSA_0.024658110758,-0.0021234661356428993,0.24826870875812995,0.43849004768022826,0.29195330047808876,0.3399011357185065,0.4283791672221069,0.759310045072034
pSA_0.025529080682,-0.001197142183427726,0.24929709783748571,0.4381283793119339,0.2928804580112481,0.34136895442154497,0.42781855805340135,0.7598005798241606
