,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,-0.011067449729562811,0.23723102701343649,0.4447440360934195,0.2937219296669295,0.32353249020072256,0.43387317755894145,0.7595979436705333
PGV,-0.02464788695985366,0.1509859786692881,0.44515714706064424,0.23989196552979475,0.19844690031207118,0.40477277564561664,0.6774475720321433
CAV,0.2185441556099793,0.18831386012033927,0.38095274672701707,0.2966719928022817,0.2532936967796366,0.25317329798566174,0.6011602799531645
AI,-0.14294918569197135,0.4093631045735052,0.7922691623222876,0.5268348774521611,0.5575484184997382,0.6177445145104985,1.2640070956471183
Ds575,0.20657026719827726,0.05423686240244927,0.30942425856477296,0.27630288392398206,0.0,0.4143993394187969,0.5863560931411937
Ds595,0.5769200361351926,0.04360315590622125,0.24864253798995953,0.22957107214614697,0.0,0.2583219184247527,0.42574194343882127
pSA_0.010000000000,-0.010111526891342757,0.23719611186888753,0.4443447381372674,0.29361485424769285,0.3234954166765536,0.43349249748975766,0.7590895592325159
pSA_0.010353218433,-0.009986619787413739,0.23718296769321223,0.44430910261721046,0.29367987369967835,0.32347387236563485,0.4334384562915912,0.7590538112547928
pSA_0.010718913192,-0.00987512529900096,0.2371686107230449,0.4442594455103001,0.29379437560095734,0.3234481213109306,0.43343027002659146,0.7590534080120911
pSA_0.011097524964,-0.009725188117675835,0.23723644032486008,0.4442701091208588,0.29380348348923596,0.32354701270434727,0.43341828120292425,0.7590984736379555
pSA_0.011489510002,-0.009483820713649721,0.23728286654239272,0.4442597888377608,0.2937376503964722,0.32361854507184157,0.4334050444754371,0.7590898909416348
pSA_0.011895340674,-0.009003095705886607,0.2373120033692275,0.44417467875754135,0.2936983706760465,0.32366492918105666,0.43335067513069486,0.7590136179312839
pSA_0.012315506033,-0.008522930904924465,0.23732439405070943,0.44407416770112945,0.2936957564979754,0.3236853179710766,0.4332806596561719,0.7589225117931957
pSA_0.012750512407,-0.008322065422859804,0.2375086180442178,0.44407623738384105,0.29360279313494314,0.3239602953297877,0.43320831624795697,0.7589637823784366
pSA_0.013200884008,-0.008044597832744343,0.23765729891138843,0.4439387014574849,0.2934604043527688,0.3241875512417335,0.4332053452728795,0.7589235924174151
pSA_0.013667163565,-0.007664752374809323,0.2376093132371773,0.44372444162198404,0.2934660208273991,0.32412048620537515,0.433222935457462,0.7587818440483391
pSA_0.014149912974,-0.007272206321622994,0.23756249727406595,0.4436540177276719,0.293511030185372,0.324051208844807,0.4331592936611967,0.7586921456857395
pSA_0.014649713983,-0.006320588817094762,0.23745755588086195,0.4434454009138603,0.2934707128450024,0.32390384529399024,0.4329823762095405,0.7583906130706665
pSA_0.015167168885,-0.005028751181549041,0.23723693687521724,0.4432442915199725,0.29330950495156277,0.3235925176962305,0.43283238870127183,0.7579920592445591
pSA_0.015702901247,-0.0036043423057057957,0.2365952328284689,0.443017833560646,0.2931300571760799,0.3226639719825519,0.4328962474601332,0.7574306774573116
pSA_0.016257556664,-0.0024956501215309384,0.2361822322251371,0.4428896478302273,0.29304060010466254,0.3220649267212231,0.4328992870703325,0.7570677930243978
pSA_0.016831803533,-0.002108819133889164,0.2360107301337771,0.44299735114163863,0.2933943863336808,0.3217954521395802,0.4326784786115665,0.7570270126765373
pSA_0.017426333860,-0.0019176303527742558,0.2366261993069573,0.44315568522364224,0.2934959658140029,0.32269143140725337,0.43247442919327383,0.7574237487066539
pSA_0.018041864094,-0.0018663457263483106,0.23729522953956725,0.44316465635778995,0.2934914907900495,0.3236730067181413,0.43236270451273323,0.7577822189405151
pSA_0.018679135990,-0.0017196293800657736,0.23805482646108714,0.4432785911192458,0.2934250815501809,0.32478791001095975,0.43233108027189726,0.7582819642360925
pSA_0.019338917505,-0.0014571406731023753,0.23818572689544754,0.44353463428216994,0.29342135144544773,0.32497491838791304,0.4324568763616763,0.7585820382698367
pSA_0.020022003718,-0.0010161827613435032,0.23805925854706705,0.44378320625201984,0.2934244272973649,0.32478581039561105,0.4323424503276799,0.7585823921472113
pSA_0.020729217796,-0.0010264925621743595,0.23877209428718318,0.44375903849494097,0.2932636622070058,0.32583992722366156,0.4321112816909178,0.7588263818257165
pSA_0.021461411979,-0.001706137142271305,0.2401825324975947,0.44384884887867265,0.2927911466164838,0.3279280323911755,0.4319982929753246,0.7595312868799154
pSA_0.022219468609,-0.0027514310218279435,0.24155472953899065,0.4436982705456839,0.2924425939133961,0.3299578934650607,0.43173285985190046,0.7600370384105155
pSA_0.023004301198,-0.0037580797809372343,0.24213460228262954,0.44373332916061814,0.2922210309549304,0.33081821003531575,0.4314383659481114,0.760179024995609
pSA_0.023816855520,-0.004686689093568784,0.24341215834438204,0.44361754312983165,0.2921182747070545,0.3326963175116704,0.4310896175523624,0.7606935710505528
pSA_0.024658110758,-0.00504266852367376,0.24458667788610433,0.44288515635394266,0.292538934761043,0.33440911238755394,0.4306256623976463,0.760916687708336
pSA_0.025529080682,-0.0049241502877621,0.2453463701655338,0.442645795827432,0.2935621356154516,0.33547929843953234,0.4299862299501085,0.7612808585922766
pSA_0.026430814870,-0.004349829551479058,0.24513616058067383,0.4414510890032708,0.29404657581887217,0.3351698508403324,0.4297547693604402,0.7605067017675474
pSA_0.027364399971,-0.0054497435484414745,0.24668011075434496,0.44063496767419064,0.29428125207232625,0.3374334764950665,0.42902889872979405,0.7607153061844737
pSA_0.028330961018,-0.0075023973399293885,0.24849072134466293,0.43989861528528834,0.29468363543658094,0.34007291739921885,0.4290138146152165,0.7616112387584293
pSA_0.029331662784,-0.009011336536348249,0.24872787604356,0.43914526801822334,0.29503672103152273,0.3404171479260697,0.4286159235474999,0.7612428506727834
pSA_0.030367711180,-0.011732452564221878,0.24905149802873322,0.43856219945383784,0.2943426160025279,0.3409358349845957,0.4277830196083277,0.7604011663765791
pSA_0.031440354716,-0.012912494880041198,0.24898449925058658,0.4380805526025296,0.29380258355259065,0.34087237440789964,0.42745938206289147,0.7597039078606763
pSA_0.032550885998,-0.014622604587699617,0.24926112029289274,0.4372294142225925,0.2937015507416119,0.34129986333238177,0.42644283656579973,0.7587946040520102
pSA_0.033700643293,-0.01774454375970956,0.2496173515440438,0.43788300238647376,0.29354056076369783,0.3418173485102107,0.4263967688183927,0.7593160664662479
pSA_0.034891012134,-0.02210433879103309,0.251573577233697,0.43851961629976943,0.2941423044306811,0.3446419117737763,0.42516628487150687,0.7605021803242981
pSA_0.036123426997,-0.02614165313349701,0.25389413043510467,0.43897227509178177,0.29432459855478194,0.3480197732833419,0.4237835482686088,0.7615995575057862
pSA_0.037399373025,-0.029735478279638985,0.25489363304719653,0.4401501957811258,0.2953130199320812,0.3494155126632272,0.4235822806403507,0.7631874760173648
