,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,-0.017277139255845623,0.23326109611871085,0.4439225186526031,0.29271579190737035,0.3177779053982692,0.43283495807082506,0.755697449702137
PGV,-0.07028524648337248,0.1382147297293379,0.4539493320324104,0.2370656263224105,0.1788843181207995,0.39870190503750624,0.6732257538050578
CAV,0.19577452219776018,0.17423059259640694,0.3797914772764185,0.28543822363946647,0.23304542562058156,0.2513969180531682,0.5858558922939734
AI,-0.16248703858222296,0.39433199672038843,0.78987962869118,0.5209445255899121,0.5358096479554849,0.6155398984261641,1.2495096526078093
Ds575,0.19482303524078998,0.05348363599611058,0.31457717780281236,0.26922664416560865,4.734178234171162e-05,0.4177929109753757,0.5882114461871514
Ds595,0.5616329182984449,0.04211326859285572,0.255092058923119,0.21669936261927716,0.0,0.26566711840587676,0.4273284335114142
pSA_0.010000000000,-0.016311283169750418,0.23328768049631435,0.4435127049119499,0.29261260902793723,0.31783115499095355,0.43247106019716897,0.7552307722619608
pSA_0.010353218433,-0.01618561215888746,0.233290686659622,0.4434715174957203,0.2926832346504652,0.31783307236776565,0.43241870530822246,0.7552047810141226
pSA_0.010718913192,-0.016075658691768534,0.23332760231048527,0.4434270665602917,0.2927452285024137,0.31788498702699514,0.4324126950931708,0.7552211173054473
pSA_0.011097524964,-0.015921215055957883,0.23333223995161867,0.4434314789930672,0.2927755721126832,0.31789029347735337,0.4323983339270564,0.755229481719232
pSA_0.011489510002,-0.015676428426536593,0.23342994488914515,0.4434103419175191,0.29271625821733177,0.31803708046918744,0.43238332982204347,0.7552472890421582
pSA_0.011895340674,-0.015190093644698067,0.23339575814938257,0.44333759790954885,0.2926921919297409,0.3179896526113407,0.43232985233175575,0.7551446651615331
pSA_0.012315506033,-0.01470560710299271,0.23345418778385263,0.4432291670818856,0.29268673792154254,0.31807792336929236,0.4322629392047094,0.7550777675525028
pSA_0.012750512407,-0.01449966271411744,0.23363712688244748,0.4432333374983396,0.2925907054758158,0.3183514413825895,0.4321968582004846,0.7551204386516728
pSA_0.013200884008,-0.014217540812702396,0.23374715572360966,0.4430932803331615,0.29244703341722905,0.3185224233229715,0.43219728647872585,0.7550549324585938
pSA_0.013667163565,-0.01383421407522863,0.23369877026580932,0.44287470167784054,0.2924550737615715,0.31845467497262686,0.43222032976160596,0.754914409073158
pSA_0.014149912974,-0.013441273810754752,0.23369278748575825,0.4427989391213072,0.29249742214076907,0.3184454085170058,0.43216660514739186,0.7548517041486591
pSA_0.014649713983,-0.0124864006960516,0.2336157295065745,0.4425893631216594,0.2924306868868416,0.31834022136378337,0.43199013408221243,0.7545575017610364
pSA_0.015167168885,-0.011195029951133749,0.23345373505085407,0.44238834186141884,0.29223904755724106,0.31811628248700285,0.4318385016523446,0.7541840402877481
pSA_0.015702901247,-0.009768384036691892,0.23275270429842687,0.44216114328141204,0.2920659422080146,0.3170996329626128,0.4318970970432959,0.7535889269921835
pSA_0.016257556664,-0.008659538733186112,0.2323457720087807,0.4420247744062773,0.29197415744216715,0.31650926744696883,0.43189388183307464,0.7532232413751201
pSA_0.016831803533,-0.008286615685551741,0.23217427271022298,0.44213206163883506,0.29233359326184294,0.31623897811746327,0.43168003410326616,0.7531895065669474
pSA_0.017426333860,-0.008108694423444524,0.23279207106220126,0.4422935201850912,0.2924183132956676,0.3171399467721976,0.43148199864182074,0.7535824367240889
pSA_0.018041864094,-0.008046456418908393,0.23342098746403092,0.4422955541095125,0.29239936428033564,0.3180644718728263,0.4313725841041678,0.7539032166007997
pSA_0.018679135990,-0.007883168819872277,0.23367629625146896,0.44242304092027107,0.2923287207239914,0.3184403146936691,0.43138889332506214,0.7541185844439123
pSA_0.019338917505,-0.0076303288072430975,0.23437575022135135,0.4426881345513098,0.29230221776527315,0.3194624542058309,0.43154012451767804,0.7547824254041434
pSA_0.020022003718,-0.0071962514899763345,0.23421398452181852,0.44292274319940944,0.2923136254692309,0.31922124889456016,0.4314084841515189,0.7547471749016155
pSA_0.020729217796,-0.007203327887556589,0.23496853806732942,0.4428701623418922,0.29217479771658367,0.3203372456604849,0.4311548649632499,0.7549904381197715
pSA_0.021461411979,-0.007918027549095359,0.2363636261593628,0.44295600199672525,0.2917430486417245,0.32240337630061405,0.4310082780651625,0.7556693052826893
pSA_0.022219468609,-0.009000277630936492,0.23778476546339758,0.4428511693200709,0.2913910594488924,0.32450644059532324,0.4307573110279378,0.7562289327226033
pSA_0.023004301198,-0.009997732965779561,0.2383546817270553,0.4429128338608166,0.291232211593375,0.3253496442627868,0.43046046166537577,0.7563971044017012
pSA_0.023816855520,-0.010896618789920598,0.2396446013557966,0.4428090101457263,0.2912074141686763,0.3272438359377926,0.43009696753666943,0.7569369241730547
pSA_0.024658110758,-0.01113772971420527,0.24088748595902168,0.4420186889492887,0.29167610217973455,0.3290566653221785,0.4296754510325645,0.7572019229876538
pSA_0.025529080682,-0.010977217813634865,0.24158760642548538,0.4417743825200892,0.2927209601364749,0.33003896717205305,0.42907025330423604,0.7575468089014583
pSA_0.026430814870,-0.010464896873479831,0.2413310066129198,0.4406127084021371,0.2931659886935924,0.3296630266517251,0.4287681034655746,0.756707112047191
pSA_0.027364399971,-0.01156687138062102,0.2428151701531438,0.43975073580188384,0.293282198640744,0.3318475665738518,0.42806625042536806,0.7568082186869194
pSA_0.028330961018,-0.013599810665754218,0.24449902257651368,0.4390102525611972,0.2936171555068161,0.33430707150883004,0.4280628946555362,0.7575883418476335
pSA_0.029331662784,-0.015039827960104899,0.24490247980259872,0.43821394324947294,0.294080994574777,0.3348902312950303,0.42767198535938894,0.7573439677626161
pSA_0.030367711180,-0.01760855401545568,0.24522933425855079,0.4375675306004569,0.29351518174488156,0.33540940875896885,0.4268878898299342,0.7565376710501651
pSA_0.031440354716,-0.018826570273240067,0.24513670079592056,0.43715935387407856,0.2929840553230633,0.335307632078433,0.42649030130034293,0.7558261325109451
pSA_0.032550885998,-0.020311880207542255,0.24568697794640895,0.43638171733809533,0.2927668703715683,0.3361397165217583,0.42553810276958515,0.7551251747532816
pSA_0.033700643293,-0.02307932438854516,0.2462226207510699,0.43717064211332846,0.2926152892914334,0.33691653443934994,0.4256092872590126,0.7559086548205647
pSA_0.034891012134,-0.027485462779781127,0.24796001109874674,0.43783318140110933,0.2931767811008076,0.33942420506223975,0.424456297723977,0.7569824696597183
pSA_0.036123426997,-0.03148783417346359,0.25031180030302885,0.4382342011692536,0.2936417229769141,0.3428381714090861,0.4230378586897329,0.7581383239272534
pSA_0.037399373025,-0.035208657877772304,0.25131875088256267,0.43948224067161684,0.2945727324276801,0.34424716172072817,0.42273498064163206,0.7596898753876563
pSA_0.038720387818,-0.03880330307788559,0.2509350456742522,0.43926385492586867,0.2952697555173878,0.3436647678685838,0.4214576988138089,0.7588603477130897
pSA_0.040088063289,-0.04187615628517965,0.25243488706243045,0.43884908801085754,0.2947883907554289,0.3458936760966116,0.4193114345403729,0.758256705655855
pSA_0.041504047579,-0.04479603853127989,0.25582286834540974,0.43803441423549416,0.29435507248142767,0.35087530053041377,0.41787431934367875,0.7591122973838785
pSA_0.042970047043,-0.04898176555388348,0.25935985006650464,0.4374769042569576,0.29297785401201715,0.35610183979653304,0.4174075142601303,0.7604338353644153
pSA_0.044487828311,-0.05548351097287559,0.26265014036886714,0.436786892311439,0.29067270901674336,0.36100133602313705,0.4177138432410452,0.761629983986917
pSA_0.046059220411,-0.059334251603674205,0.2639647311785131,0.4365285362952417,0.28958836025120654,0.36295806006504316,0.41900644038831514,0.7627080252928475
pSA_0.047686116977,-0.06219485799811346,0.26730557273210287,0.4357155758159174,0.2903656928868074,0.3677980091796054,0.41818679828782007,0.7644055680284723
pSA_0.049370478528,-0.06512969117800861,0.27459411840248604,0.4346982372647572,0.2918647978997465,0.37834024931614973,0.4172314216351748,0.7690065156983147
pSA_0.051114334834,-0.06680177461409911,0.277913018041828,0.43506720781736696,0.2926428187094376,0.38312025586754334,0.41690668278033305,0.7716965772005976
pSA_0.052919787360,-0.0727739110342385,0.27981702896505745,0.43726853929401643,0.29442981470148927,0.38578557898615556,0.41516561459448476,0.7740062607865492
pSA_0.054789011796,-0.07886871270359908,0.28024135912817993,0.4359856523199814,0.29665001928889323,0.38633016757844524,0.414676939883247,0.7741399652679766
pSA_0.056724260685,-0.08378697704524991,0.2840976054366459,0.4343976352903329,0.29699949563630634,0.3919242438552511,0.416005112946374,0.7769008127638233
pSA_0.058727866132,-0.0885646173078583,0.2888712597222543,0.43407325935863117,0.2977215834831859,0.398809967847442,0.4176160728723967,0.781351592138777
pSA_0.060802242616,-0.0907035850221835,0.2931357396212811,0.4320673822499913,0.2981121225576042,0.40498866064403105,0.4194413675455268,0.7845380401732398
pSA_0.062949889902,-0.09367041161310093,0.30106383361157496,0.43001478613369554,0.29946187849080075,0.41642552631392343,0.42103083868305313,0.7907384643804994
pSA_0.065173396049,-0.09782542042154457,0.30185788193558655,0.4293010064418614,0.30066055076029247,0.41753746146282034,0.42079828545590187,0.7912678747952051
pSA_0.067475440531,-0.09752245187010747,0.3010819542216555,0.42981053628053134,0.30655327599139526,0.41618612060350085,0.4189878304765008,0.792132373526806
pSA_0.069858797468,-0.09745339792451359,0.30307966376533013,0.4314099118165468,0.31801007921690444,0.418592286513512,0.42032952901682813,0.7994631559923329
pSA_0.072326338965,-0.1059889846631856,0.3066237869671727,0.4340255428841156,0.33318596365779246,0.42306850711734667,0.41962094061902355,0.8089868687283606
pSA_0.074881038576,-0.11524341922386562,0.3054397909450808,0.4386601906200757,0.3390087148125724,0.42104488627968156,0.41946664432940645,0.8127611786502575
pSA_0.077525974886,-0.11448487921402291,0.2994184696867872,0.43984707517103344,0.34468059807439866,0.41204230658170565,0.41850590256415027,0.8106763948207967
pSA_0.080264335223,-0.11375597386909128,0.295991766502303,0.43846256414613727,0.35072959239481116,0.40679123990111526,0.4213598897828645,0.811346989097236
pSA_0.083099419494,-0.11362977580954872,0.29259188874684194,0.4387047075983987,0.3554425957413126,0.40160405687786566,0.42445460913685146,0.8125569475763504
pSA_0.086034644167,-0.11248824912726058,0.28567672881400097,0.4391842036465133,0.35695932723919654,0.39144360951325186,0.42390944557055493,0.8082264803310891
pSA_0.089073546386,-0.11063813342337404,0.2833680727834924,0.44205879263298814,0.3564015578877401,0.38807245819907027,0.4212709994693836,0.8065404728936707
pSA_0.092219788233,-0.11199981491133672,0.28044098363180553,0.44310570517477876,0.35258802806338524,0.383963812185195,0.42241718904200626,0.8040680780618032
pSA_0.095477161142,-0.11196725797243609,0.2763945181103101,0.4446753328043162,0.34918175675374635,0.3781858602816054,0.4245271654255993,0.8018178782962463
