,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,-0.04594899506920105,0.2461334039823144,0.4529365773140091,0.28250738966388694,0.33693423166013853,0.43672522333687774,0.7676037815479326
PGV,0.10915194274833977,0.12021471814562233,0.44764117470610026,0.23936864839282795,0.1506955347025896,0.40312728879521204,0.6655078709349307
CAV,0.1995832512926681,0.19488702530971,0.38946060925880155,0.3160055161098142,0.2616750562793404,0.2586070135150714,0.6220052048769746
AI,-0.17991977872712497,0.42001736410135215,0.8113464671351595,0.5446514196486965,0.5719153314143612,0.6265371347840402,1.2940495300521684
Ds575,0.2038778124971911,0.05379968189456595,0.3105165838550425,0.27307828162989617,1.5812947118003515e-05,0.41245311244285365,0.584046117152395
Ds595,0.5741641471896997,0.04238551050555216,0.2488623433195261,0.22086137984288465,0.0,0.2581230425710536,0.4211172284943073
pSA_0.010000000000,-0.04653323212879698,0.24647202379276692,0.45258727219611833,0.28261451914665237,0.33743158037021853,0.4363895216437674,0.7674647167251639
pSA_0.010353218433,-0.04652091729648561,0.24648553058326952,0.4525549299141828,0.2826856358541535,0.3374489042205114,0.43633735561896364,0.7674497926093092
pSA_0.010718913192,-0.046535508052608504,0.24651038606752942,0.4525023423504131,0.28280112627485926,0.33748088712062707,0.43633316201409045,0.7674730120987182
pSA_0.011097524964,-0.04653347382054695,0.24661850249408976,0.45251244535485374,0.2828448652716593,0.33763667149653637,0.436330937138794,0.7675623360061714
pSA_0.011489510002,-0.04646084589068837,0.24670827480298613,0.45251013503119913,0.28281635445887493,0.3377691388394016,0.4363271050923981,0.7676065700904243
pSA_0.011895340674,-0.046144368557587315,0.24679396907695653,0.45242031299446506,0.2827952810163243,0.33789699617841246,0.4362788297275505,0.7675746920462833
pSA_0.012315506033,-0.04581523728157728,0.2468628963089707,0.4523095341979833,0.2828094358238801,0.3379991974561008,0.4362153236536461,0.7675235226288777
pSA_0.012750512407,-0.04577950600996025,0.24710574486673645,0.45229569854127777,0.282788445518795,0.3383553655532688,0.4361525119361825,0.7676288627356366
pSA_0.013200884008,-0.04568173376477196,0.24729616206950783,0.45214375602582196,0.2827343146248738,0.33863834571079404,0.43616363382905254,0.7676505151696585
pSA_0.013667163565,-0.04552703749627489,0.2472888995999486,0.4519276477501291,0.28272244960874787,0.33863179199461224,0.4361769484308291,0.767523552215597
pSA_0.014149912974,-0.04537008692380463,0.24724390532798313,0.45186832781231656,0.2827363126420138,0.3385667300260734,0.4361220343405803,0.7674338197422733
pSA_0.014649713983,-0.04466593428399002,0.2471234010757433,0.45164088973588773,0.28283066025922,0.3383910307157419,0.4359757360316074,0.7671740400595256
pSA_0.015167168885,-0.04368111445185133,0.2469443737434058,0.45145005194720894,0.28276186770821393,0.3381365271826984,0.435845385970642,0.7668500079676916
pSA_0.015702901247,-0.04263756037578051,0.24641952322800417,0.45124112759174456,0.2826722276732313,0.33737735473364927,0.4358765356423338,0.7663771769426941
pSA_0.016257556664,-0.04189393469982604,0.2461600049181001,0.45111568045605116,0.28268367643069375,0.33699976287982186,0.4358970828339452,0.7661530689606997
pSA_0.016831803533,-0.04189734087338717,0.24609920310732625,0.4512121528550666,0.28308298506174867,0.33689238178293984,0.4356805229504981,0.7661869082001962
pSA_0.017426333860,-0.042131792467525575,0.24678297284847794,0.4514215169704613,0.28336442417843033,0.33787597852131895,0.43547416673579364,0.7667298804858582
pSA_0.018041864094,-0.04267874289063635,0.24774312360350398,0.4514944389692234,0.28345995961367976,0.33927354040767754,0.4352995633618045,0.7673258904846495
pSA_0.018679135990,-0.043079166769949134,0.24864290660032629,0.4516770577376919,0.2835660122597423,0.34057962554451576,0.43527071908275733,0.7680344575748759
pSA_0.019338917505,-0.04321175290484329,0.24873564876936774,0.45198734389540934,0.283673752135439,0.34070458422374567,0.4353644858039307,0.7683652815572954
pSA_0.020022003718,-0.043467363489811124,0.24890201250970861,0.45221719484312906,0.2840221753851488,0.340928635114293,0.4352445603516234,0.7686606201561736
pSA_0.020729217796,-0.04434947099221932,0.2498427762997909,0.4521737859911813,0.28436845392824756,0.342289085855703,0.4348575633630575,0.7691485350939238
