,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,-0.11029366002783714,0.22505389863613545,0.45518695035795,0.2926888845383635,0.3054820314361958,0.4377582028921256,0.7601404203423278
PGV,0.07501011201414332,0.10941317031371829,0.4476931209300264,0.24851325652453027,0.13236324017983045,0.4037604807960685,0.6653799834681459
CAV,0.1413962587556577,0.17695153775972916,0.39203458792496493,0.3267674798571333,0.2339776127422658,0.26031371392847236,0.6188512397543398
AI,-0.29857824958154877,0.38252173844455784,0.8163539920966384,0.5686967366242186,0.515147560530011,0.6296979696349639,1.2852028480911375
Ds575,0.2037942487758661,0.053801995718939705,0.31002116940022856,0.2732746971629646,9.566752119884984e-05,0.41186878842713115,0.58346216125684
Ds595,0.5748641271583289,0.04240933065660021,0.24824557502116423,0.22125045575240562,0.0,0.25732736653815547,0.42046997902073563
pSA_0.010000000000,-0.11160967895749212,0.225184817564804,0.45488765037232026,0.2927757444726695,0.3056780331474191,0.4373945645934946,0.7598641168640505
pSA_0.010353218433,-0.11166809047138992,0.22518664490221502,0.45487199049587745,0.2928636921091453,0.3056768253165703,0.43733488549219124,0.7598537974489349
pSA_0.010718913192,-0.11176026835978048,0.22522716808815757,0.4548258862412708,0.29298790873839203,0.3057310265076996,0.4373235716186424,0.7598893790051229
pSA_0.011097524964,-0.11184120515978838,0.22533347372059037,0.45484571051230627,0.2930194584676001,0.3058857126876764,0.43730775069379346,0.7599665528530866
pSA_0.011489510002,-0.1118480054286363,0.22540044859122685,0.454843405971675,0.292982266355529,0.30598644410222886,0.43728665816773293,0.7599792482302172
pSA_0.011895340674,-0.11160871206231036,0.2254663141113042,0.4547466154963269,0.292953969410518,0.306087103802871,0.43721643600521043,0.7599105470555536
pSA_0.012315506033,-0.11139443951535438,0.2255666008845924,0.4546406711085599,0.29298475259762075,0.30623564703979356,0.43713474412802894,0.7598718715168296
pSA_0.012750512407,-0.11148091739543484,0.2257533590500584,0.45465158843141973,0.2929726485122154,0.3065114734451614,0.43707312749969657,0.7599494994901734
pSA_0.013200884008,-0.11152010511942267,0.22585154153346618,0.45452090793176636,0.29293018102292734,0.3066605594624287,0.4370885328347874,0.7599239639376554
pSA_0.013667163565,-0.1115554874532819,0.22581263164989893,0.4543292955967487,0.29300735987394605,0.30660294068086097,0.4370660989268785,0.759802974357859
pSA_0.014149912974,-0.1115814518486096,0.22569260317205428,0.4542769540007267,0.2929679245548221,0.3064296234996996,0.4369873486034735,0.7596412395017793
pSA_0.014649713983,-0.11097300902684892,0.22544022828876065,0.45399860666722786,0.2930012563587666,0.30606201863991817,0.4368695977098221,0.7592716745280857
