,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,-0.1515884498704849,0.23180124849758255,0.44791117591729956,0.30422038163359605,0.31496623223937903,0.4351713745065195,0.7627268939495138
PGV,-0.06509482322571239,0.11666416891557804,0.4433242435183704,0.24169321268680352,0.14494547160093862,0.4055537720956686,0.6636528051237695
CAV,0.07315974680958018,0.19041692222994386,0.3818299894628077,0.35449005670062395,0.2524573488407121,0.2604223204371823,0.6348321345980737
AI,-0.4262951350588956,0.40769322313114026,0.7948189577693936,0.615662324950449,0.5501159425809542,0.6288277738869579,1.307221937348963
Ds575,0.2057141074899976,0.054387733133869784,0.31237772235043104,0.2766665852116577,9.138423723083592e-06,0.41470242029949356,0.588304630509816
Ds595,0.576990636934712,0.04233654346109044,0.2498083676969775,0.22013927141023665,7.851673912932011e-06,0.2597072432768068,0.4222716799177343
pSA_0.010000000000,-0.15161147117060442,0.23194972707358047,0.44756714572289114,0.30468868217864176,0.3151687850411468,0.4347705005400716,0.762566911282197
pSA_0.010353218433,-0.15156363768196382,0.23197690170993923,0.4475493382146741,0.30476207799689087,0.3152056260785384,0.43470950247125756,0.7625662414320131
pSA_0.010718913192,-0.15152836748040166,0.2320116256640016,0.4475047237335961,0.3049031964823162,0.3152502482441404,0.4346987962692506,0.7626088115704824
pSA_0.011097524964,-0.15145156296408066,0.2320369124163749,0.44751357493364585,0.30498821639675316,0.3152829093302194,0.43469548243166234,0.7626596142795209
pSA_0.011489510002,-0.1512994875739159,0.23209549016982958,0.44750205401243287,0.30503034941089463,0.3153671181420271,0.4346973015367238,0.7627055562768607
pSA_0.011895340674,-0.15092576061907192,0.23219045052527038,0.4474220207814692,0.30503821183749397,0.31550812580896714,0.43465052640180163,0.76269340689037
pSA_0.012315506033,-0.15056486692838014,0.2322798374700799,0.447323368909722,0.3050998431277955,0.3156386858993142,0.4345646492526455,0.7626652772125327
pSA_0.012750512407,-0.150478858237877,0.23255453333456427,0.4473164408823867,0.3051792914569854,0.31603945183876647,0.4344646966477921,0.7628020096785794
pSA_0.013200884008,-0.15027773041847917,0.2325506428292206,0.44715161011881827,0.30523507009393047,0.3160338005526422,0.4344527263141753,0.7627185227465406
pSA_0.013667163565,-0.1500001647377449,0.23252433158834326,0.4469273915463638,0.30526761093218746,0.3159973184554338,0.43445628346407567,0.7625870278932918
pSA_0.014149912974,-0.149708091265039,0.23246030507512763,0.4468675872840359,0.3052469143882155,0.3159054734641036,0.43441394535630445,0.7624815167551222
pSA_0.014649713983,-0.14888742965717816,0.23237069291001952,0.446659672005354,0.30540659684306065,0.3157698118722438,0.43426731675983116,0.7622838896938634
pSA_0.015167168885,-0.14775579760314808,0.23209447014141962,0.446486496676004,0.3053878379455453,0.31536827100786596,0.4341063525901748,0.7619169213219391
pSA_0.015702901247,-0.14648069284600498,0.2314948348349459,0.4462813753403883,0.30526606724216065,0.31449579192502025,0.4340936926879321,0.7613799149932932
pSA_0.016257556664,-0.14554959473089446,0.2311817151546258,0.4461492061267819,0.3052832920030391,0.3140365909825492,0.4340481755118826,0.7610938192134432
pSA_0.016831803533,-0.1454342441629382,0.23117790144348954,0.44624765955987916,0.30583197084830316,0.31400207022527965,0.4337877365680744,0.7612090833392897
pSA_0.017426333860,-0.14560143283565527,0.23183834322240066,0.44650302147474485,0.3064084219055089,0.3149409221919591,0.4335667128331927,0.7618523138698226
pSA_0.018041864094,-0.145937230947781,0.23264359915446683,0.4465808312322994,0.30669765793883136,0.3161101848512261,0.4334707106342389,0.7624437016289952
pSA_0.018679135990,-0.14607309488523176,0.23343646847368288,0.4467381347645525,0.3068111724419576,0.31726817312833455,0.43347172677063556,0.7630628337023285
pSA_0.019338917505,-0.14604033967532787,0.23351423915261105,0.447088912614754,0.3069387446443888,0.3173698632445912,0.4334674137335821,0.7633593633484085
pSA_0.020022003718,-0.14586676010902785,0.23338530554291487,0.44729223364004994,0.30754936655003895,0.3171457052716934,0.4333195712531348,0.7635471199233977
pSA_0.020729217796,-0.14617119760343494,0.2341542524737461,0.4472129057056072,0.30782800951217293,0.31826548389141995,0.4330522896735375,0.7639271367728809
pSA_0.021461411979,-0.14717655778288977,0.23570808332126084,0.4472802520919348,0.3078010971012022,0.3205512675549275,0.43300351594988534,0.7648831932028327
pSA_0.022219468609,-0.14886520269443718,0.23707710047797448,0.4472405647316171,0.30796890144745703,0.32255745105009936,0.43271135898152496,0.7656052484275331
pSA_0.023004301198,-0.15043082145401052,0.23788374771719498,0.44724998641235086,0.30838491486658326,0.3237230066000718,0.43242414330216117,0.7661077148651592
pSA_0.023816855520,-0.15192779854077837,0.23956642674152917,0.44708998630379976,0.3095943174763763,0.32613645926228446,0.43236342052359145,0.7674902049757996
pSA_0.024658110758,-0.15293591061111755,0.24092733260682592,0.44638027809637243,0.31096497672879453,0.3280809666584558,0.43172770368049773,0.768101881415556
pSA_0.025529080682,-0.15366026870676566,0.24174507332009837,0.4459992707323505,0.31236304192716047,0.32922041391597734,0.43111915570826126,0.7685934079950133
pSA_0.026430814870,-0.15381914073566935,0.24140434693293508,0.4446896681571503,0.31325618786994025,0.32869861815975704,0.4307489401921704,0.7677667427424396
pSA_0.027364399971,-0.15625643307316844,0.2432244132305801,0.4439459118126557,0.31553603213827375,0.3312723707295042,0.4298091947144227,0.7688486766994806
pSA_0.028330961018,-0.15877454710695213,0.24568362864482673,0.44357549162252563,0.31775231276671073,0.3347750518187248,0.4298742755440059,0.7710979037265454
pSA_0.029331662784,-0.16144236912911042,0.2462396391202341,0.44315961394880604,0.3190342013513054,0.33553305774943676,0.4297989854974159,0.7716753629891361
pSA_0.030367711180,-0.16513648412317744,0.24753564133316494,0.4426019459438339,0.31903736869271393,0.337446710062467,0.4292012799765453,0.7718583717503663
pSA_0.031440354716,-0.16798533721906486,0.24808121321022306,0.4423556120997151,0.32001044993816674,0.33820152235461204,0.42924150634502956,0.7724724694887635
pSA_0.032550885998,-0.17165509267512846,0.24888361468748155,0.4412427500619439,0.32261156268259333,0.3392683770605681,0.42853168399162417,0.7729914751902126
pSA_0.033700643293,-0.1771706850322084,0.24987738498231524,0.4419482805742771,0.32635472017535905,0.3405251648715428,0.4282906408228395,0.7753811624037088
pSA_0.034891012134,-0.184322696883771,0.2525635897381143,0.44224546127999376,0.3310987651841577,0.34422618909675046,0.42681673102592876,0.778377563572435
pSA_0.036123426997,-0.1913490729061623,0.25548339411034793,0.4423255194141162,0.3350598605876996,0.34831062881260627,0.425692379716048,0.781313811214266
pSA_0.037399373025,-0.19841405588249683,0.25605733409118353,0.44312585209020133,0.3390097387257919,0.34893894654019114,0.4251601393892572,0.7834587776518096
pSA_0.038720387818,-0.2041965201462102,0.25505967189553713,0.4433656964027452,0.3409341423688331,0.34737594020587664,0.42411566849388,0.7831688031806364
pSA_0.040088063289,-0.20979883422193746,0.25673612551870534,0.44290852038059975,0.3443593555706865,0.34967513424331154,0.4221825247584497,0.784386452531077
pSA_0.041504047579,-0.21616704752778926,0.26053664543045285,0.4419879396596286,0.3471763310870653,0.3551247045474843,0.42127269135654904,0.7870635170901821
pSA_0.042970047043,-0.22477911215762003,0.2639159283328468,0.4413623211423236,0.3489974578096046,0.36000008150485985,0.42041742097339085,0.7892723171524068
pSA_0.044487828311,-0.23555334970631395,0.2652925298463437,0.4400174685194207,0.3512407058629123,0.36192040417268956,0.4208449841099806,0.7906214553529198
pSA_0.046059220411,-0.24579844178936405,0.2677619682186281,0.4403782504386038,0.35564140335133143,0.36530953343522377,0.42030297811284184,0.7940525548515381
pSA_0.047686116977,-0.2540734626309782,0.2725304200382539,0.44014261915668385,0.3604271653645754,0.3720577798146045,0.41928840018695346,0.7986632712118144
pSA_0.049370478528,-0.26090738980975287,0.27848566203048153,0.43963272162601946,0.3642738011334498,0.3805885345062306,0.41893601389078006,0.8039448665479552
pSA_0.051114334834,-0.2657082215290333,0.280906733860497,0.43747450339881777,0.367934113935191,0.3839744154505816,0.41911072773187763,0.8061324997429865
pSA_0.052919787360,-0.2739788603825332,0.28167112956888535,0.43892016173790505,0.3711025461453899,0.38491635479074016,0.41785963461201775,0.8081678554354287
pSA_0.054789011796,-0.2858149674532714,0.28245961076150133,0.44011941812161315,0.373972101988629,0.3859082938132353,0.41733879169441507,0.8103438242871341
pSA_0.056724260685,-0.29723439995350065,0.28765053737094165,0.43873605542658284,0.37726234460872005,0.39334834662519064,0.41847747564532045,0.8152683744670812
pSA_0.058727866132,-0.3102645499291063,0.2960371937830615,0.4374924916419653,0.3823167481582096,0.4053526563989303,0.42145348602608806,0.8243176530310231
pSA_0.060802242616,-0.31708023691632875,0.3037903783291371,0.43660299015046417,0.37783749944360373,0.4168853799588679,0.4237178508481484,0.8286818352932234
pSA_0.062949889902,-0.3215719418752835,0.312924282249214,0.43347048077001604,0.37401398669193736,0.43039626913429974,0.4249691709463332,0.8328402395896369
pSA_0.065173396049,-0.3275608048895277,0.31631219101251123,0.4331193993854219,0.3721335781070351,0.43541606118188475,0.42378569581399145,0.833820889874096
pSA_0.067475440531,-0.3289046689625809,0.31551063395781087,0.4312433727643041,0.373734749810149,0.4342088551132908,0.4221075225714467,0.8320820874402876
pSA_0.069858797468,-0.3322604654412932,0.3165872976671678,0.4354028741748459,0.3832220931743088,0.43528199173870663,0.4223546238567753,0.8392190871052856
