,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
PGA,0.2512215450936883,0.26531051845129616,0.4549385085754288,0.35359251021627247,0.3614992461692391,0.43940938443966565,0.8097894923870366
PGV,0.30027848308028154,0.18904584694194296,0.4530948578427431,0.3722213916193093,0.2466625739032578,0.40103331172409,0.7520065538673996
CAV,0.4850282343121507,0.2151580741643081,0.3909112039905438,0.442912496934743,0.2828350782860107,0.25905818952133525,0.7043364795418673
AI,0.40163298230357336,0.4705339405702186,0.8148460836232001,0.7765052340738023,0.6330248561217261,0.6308902745524584,1.4372465082695056
Ds575,0.19910735249403752,0.05373627517343265,0.3132724401775539,0.27182553665084863,0.0,0.41368679797951585,0.5858033039962012
Ds595,0.5682604709936423,0.04258981389203031,0.2523157119592321,0.2211751607631361,0.0,0.26170850085800473,0.4255267437675775
pSA_0.010000000000,0.25124763299652636,0.2649473366608085,0.4546006673550605,0.35276235886458396,0.3610166613573292,0.43905995857638574,0.8088323222980534
pSA_0.010353218433,0.25130422349111264,0.2649081341684105,0.4545776801274434,0.3527969022491159,0.360957939601767,0.4390117894476267,0.8087821133915987
pSA_0.010718913192,0.25134131336906823,0.2648660013331902,0.4545418652327564,0.35288101416360385,0.3608923014653395,0.4390076138080523,0.8087671207738334
pSA_0.011097524964,0.2514111876096358,0.2648987039390139,0.4545620294302072,0.35284688634921774,0.36094179381124303,0.43900121339218034,0.8087821756724927
pSA_0.011489510002,0.2515741430949826,0.26490650426565565,0.45456223134737717,0.3526937259479398,0.3609612564451928,0.4389951018885654,0.8087208508670906
pSA_0.011895340674,0.25197629942294747,0.26488820383053197,0.4544825928000297,0.35248715339701875,0.36094666884526627,0.4389463570217632,0.8085530425156674
pSA_0.012315506033,0.2523543385929353,0.2648442176258902,0.45438769672140356,0.3523548585390128,0.36089085087939254,0.4388788377748773,0.8083804585483922
pSA_0.012750512407,0.2524331286512459,0.26499780744983814,0.4544028423898539,0.3522356283929471,0.3611225893350319,0.43880615387838506,0.8084010429798639
pSA_0.013200884008,0.2525885300007061,0.26511614238327547,0.4542650569660551,0.3521069799386534,0.3613051304066678,0.4387968232451234,0.8083440583378367
pSA_0.013667163565,0.2528399425062195,0.2650194358734769,0.45404968675409835,0.35205319069093244,0.36116931541100183,0.43881249894504204,0.8081474189416218
pSA_0.014149912974,0.2530968012535834,0.26487863544534523,0.4539661727634143,0.3519341189683462,0.36097048522012554,0.43875985467523454,0.807931192232466
pSA_0.014649713983,0.25392756725387106,0.26468186164434476,0.453743016685326,0.3516787934173034,0.3606992537469739,0.4386191648324525,0.8074970107326047
pSA_0.015167168885,0.2551267114596534,0.2643919136352748,0.45354755437260946,0.3512383428999978,0.3603003095392992,0.43851362514077674,0.8069598937299994
pSA_0.015702901247,0.2564612927619983,0.26368189317555196,0.45334126020921944,0.3505698924747279,0.3592958716129873,0.4386128121571601,0.8061589607914645
pSA_0.016257556664,0.2574474240948718,0.26319442121945635,0.45323811452885016,0.3497791225559545,0.35862296883463535,0.43866802293415313,0.8054876108037957
pSA_0.016831803533,0.2576531635913358,0.2629569800787891,0.4533492496739834,0.3496165956816404,0.35828220015545664,0.43847845177319417,0.8052246852733934
pSA_0.017426333860,0.25759132069804774,0.263448466800529,0.4535766805057971,0.349516621600956,0.35900631200970784,0.4382476588648819,0.8055061864674693
pSA_0.018041864094,0.2572664288747012,0.2639504169272469,0.45370540023027434,0.34933555443003705,0.35975135507394085,0.43802762828929803,0.8057128275070088
pSA_0.018679135990,0.2570295180194294,0.26455108691948387,0.45385689001546603,0.3489972389577111,0.3606479422967318,0.437978421048359,0.8060255486034528
pSA_0.019338917505,0.25698896124303816,0.26451266797216794,0.45412428035032615,0.34866008825237504,0.36060400049717195,0.438132192270272,0.8060941522067844
pSA_0.020022003718,0.2570494119916818,0.2642440067658636,0.45435576628591706,0.34839511361620007,0.3602205799123345,0.4380115037170446,0.8058729807666671
pSA_0.020729217796,0.25653396716997523,0.26479643454808377,0.454385203186512,0.3482237866382019,0.3610406230348966,0.4377455505668674,0.8060379748982128
pSA_0.021461411979,0.25541929883105774,0.2660599984839684,0.4543669177450425,0.34805927494304767,0.3629028042292313,0.4376282745723804,0.8067288930227111
